component_contract,families,field_pattern,value_kind,denominator_key,category,comparator,vote_rule,cardinality,required_when,source
electrical_observation_v1,electrical,Joule_power,numeric,power_W,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,every electrical row,strict_v1.electrical_observation
electrical_observation_v1,electrical,cell_Joule_power,numeric,power_W,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,every electrical row,strict_v1.electrical_observation
electrical_observation_v1,electrical,ground_current,numeric,terminal_current_A,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,every electrical row,strict_v1.electrical_observation
electrical_observation_v1,electrical,phi,numeric,potential_V,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,every electrical row,strict_v1.electrical_observation
electrical_observation_v1,electrical,relative_current_imbalance,numeric,relative_residual,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,every electrical row,strict_v1.electrical_observation
electrical_observation_v1,electrical,relative_power_imbalance,numeric,relative_residual,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,every electrical row,strict_v1.electrical_observation
electrical_observation_v1,electrical,source_current,numeric,terminal_current_A,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,every electrical row,strict_v1.electrical_observation
electrical_observation_v1,electrical,terminal_power,numeric,power_W,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,every electrical row,strict_v1.electrical_observation
step_bundle_v1,interval|progression|failure,{step_prefix}.electrical.cell_joule_power_W,numeric,power_W,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.electrical.ground_current_A,numeric,terminal_current_A,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.electrical.joule_power_W,numeric,power_W,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.electrical.potential_V,numeric,potential_V,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.electrical.relative_current_imbalance,numeric,relative_residual,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.electrical.relative_power_imbalance,numeric,relative_residual,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.electrical.source_current_A,numeric,terminal_current_A,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
