source_equation,physical_role,parameter_and_unit,present_repository_mapping,inconsistency,proposed_v2_mapping,allowed_claim,forbidden_claim
S1,quasistatic device major/minor-loop resistance,"R0 [ohm], Ea [K], Rm [ohm], F dimensionless",qiu_author_compact_model.quasistatic_resistance_ohm is source-consistent; v1 2-D kernel is not S1,v1 mixes conductivity endmembers logarithmically instead of preserving additive device resistance,S1 is the only later production-voting uniform-limit source oracle,source-model-scale-anchored device-effective conductivity after a passed uniform-limit gate,intrinsic local VO2 conductivity or contact-resolved calibration
S2 major-loop limit,"insulating fraction F_b(T), with T_pr=0 before reversal","beta=0.253 K^-1, w=7.193 K, Tc=332.8 K, delta=+1/-1",qiu_author_compact_model.major_branch_insulating_fraction is source-consistent,v1 expit uses w=7.193 K as sigmoid scale; source steepness is controlled by beta,"F_b=0.5[1+tanh(beta(Tc+delta*w/2-T))], s_b=1-F_b",Qiu-source-consistent quasistatic major-branch shape,measured local metallic volume fraction
S3,reversal proximity temperature for minor loops,"T_pr [K], reversal temperature T_r [K]",implemented in qiu_author_compact_model; inactive in the Stage A major-loop limit,none for source module; v1 equilibrium sigmoid omits this source meaning,do not activate minor-loop dynamics in the steady major-branch production closure,major-loop limit corresponds to no reversal and inactive T_pr,full Preisach or measured minor-loop dynamics
S4,empirical proximity function for minor loops,gamma=0.956 dimensionless,implemented in qiu_author_compact_model; unused by Stage A major branches,not a license to add branch-switching dynamics to the steady oracle,retain as source provenance only for this task,S1-S4 source mapping is explicit,validated local history dynamics
S5,device-voltage RC dynamics,"C=145 pF, Rload [ohm], Vin/Vd [V]",qiu_author_compact_model.compact_rhs uses S7 resistance,S5 alone does not select S1 versus S7 resistance semantics,independent 0-D oracle evaluates both variants and reports them separately,source-lumped circuit stability scale,2-D electrical validation
S6,uniform-temperature device thermal dynamics,"Sth=0.206 mW/K, Cth=49.6 pJ/K",qiu_author_compact_model.compact_rhs implements the lumped equation,"source explicitly says fitted terms include VO2, electrodes, and substrate",use only as 0-D uniform-limit oracle and local-stability time scale,device-effective lumped thermal scale,local 2-D material conductance or heat capacity
S7,dynamic thin-filament effective resistance,k=4.90 dimensionless multiplying Rm,qiu_author_compact_model.dynamic_resistance_ohm is source-consistent,k is not intrinsic metallic resistance or a distributable local phase fraction,diagnostic comparator only; never the automatic 2-D production closure,source-reported dynamic-filament comparator,intrinsic/local S7 material law
Qiu main Fig. 2,9/12.5/15.8 V qualitative source-voltage regimes,"Vs [V], Rload=12 kOhm, T0=325 K",source contract v3 correctly labels the three qualitative regimes,an algebraic fixed point at 12.5 V cannot negate the reported oscillatory regime,12.5 V remains diagnostic-only and excluded from steady GT voting,qualitative regime context,quantitative Qiu reproduction
v1 2-D effective closure,repository production conductivity and equilibrium coordinate,expit scale=7.193 K; log-conductivity mixture,vo2_effective_conductivity.EffectiveVO2Closure,neither source beta steepness nor S1 additive resistance is preserved,replace only in a new Stage B identity after Stage A selects S1 and a valid domain,v1 discrepancy is bounded and preserved,v1 cooling failure proves Qiu source physics fails
direct beta+k patch,prospective shortcut,"beta [K^-1], k dimensionless",not implemented,beta fixes branch steepness while k belongs only to S7 filament resistance; they do not repair v1 mixing semantics,REJECT_DIRECT_BETA_K_PATCH,a source audit is required before any new 2-D closure,cooling is restored by a two-constant patch
