evaluation_id,evaluation_group,group_index,status,evidence_type,execution_class,trajectory_id,dependency_ids,problem_id,protocol_id,audit_id,fixture_id,spatial_level,time_divisor,contact_overlap_m,gate_ids
P1V2-MMS-electrical_linear_field-L1,MMS,1,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_manufactured_solve,TRJ-P1V2-MMS-electrical_linear_field-L1,,electrical_linear_field,,,,1,,,manufactured_electrical_linear_field
P1V2-MMS-electrical_linear_field-L2,MMS,2,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_manufactured_solve,TRJ-P1V2-MMS-electrical_linear_field-L2,,electrical_linear_field,,,,2,,,manufactured_electrical_linear_field
P1V2-MMS-electrical_linear_field-L4,MMS,3,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_manufactured_solve,TRJ-P1V2-MMS-electrical_linear_field-L4,,electrical_linear_field,,,,4,,,manufactured_electrical_linear_field
P1V2-MMS-thermal_diffusion_with_source_and_sink-L1,MMS,4,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_manufactured_solve,TRJ-P1V2-MMS-thermal_diffusion_with_source_and_sink-L1,,thermal_diffusion_with_source_and_sink,,,,1,,,manufactured_thermal_diffusion_with_source_and_sink
P1V2-MMS-thermal_diffusion_with_source_and_sink-L2,MMS,5,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_manufactured_solve,TRJ-P1V2-MMS-thermal_diffusion_with_source_and_sink-L2,,thermal_diffusion_with_source_and_sink,,,,2,,,manufactured_thermal_diffusion_with_source_and_sink
P1V2-MMS-thermal_diffusion_with_source_and_sink-L4,MMS,6,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_manufactured_solve,TRJ-P1V2-MMS-thermal_diffusion_with_source_and_sink-L4,,thermal_diffusion_with_source_and_sink,,,,4,,,manufactured_thermal_diffusion_with_source_and_sink
P1V2-MMS-S2_forced_uniform_temperature_response-L1,MMS,7,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_manufactured_solve,TRJ-P1V2-MMS-S2_forced_uniform_temperature_response-L1,,S2_forced_uniform_temperature_response,,,,1,,,manufactured_S2_forced_uniform_temperature_response
P1V2-MMS-S2_forced_uniform_temperature_response-L2,MMS,8,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_manufactured_solve,TRJ-P1V2-MMS-S2_forced_uniform_temperature_response-L2,,S2_forced_uniform_temperature_response,,,,2,,,manufactured_S2_forced_uniform_temperature_response
P1V2-MMS-S2_forced_uniform_temperature_response-L4,MMS,9,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_manufactured_solve,TRJ-P1V2-MMS-S2_forced_uniform_temperature_response-L4,,S2_forced_uniform_temperature_response,,,,4,,,manufactured_S2_forced_uniform_temperature_response
P1V2-REF-zero_drive-S1T4,REF,1,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-zero_drive-S1T4,,,zero_drive,,,1,4,,space_time_event_convergence;ledgers;source_trend
