family,value_kind,field_pattern,denominator_key,category,comparator,minimum_cardinality,maximum_cardinality,required_when,static_cardinality_rule,production_extractors,field_name_origin,raw_schema_origin
electrical,numeric,Joule_power,power_W,A_primary_physical,strict_v1_1e-12,1,1,always_in_family,one_per_observation_when_required_when_condition_holds,electrical_observation,production_extractor_output,production_extractor_output
electrical,numeric,cell_Joule_power,power_W,A_primary_physical,strict_v1_1e-12,1,1,always_in_family,one_per_observation_when_required_when_condition_holds,electrical_observation,production_extractor_output,production_extractor_output
electrical,numeric,ground_current,terminal_current_A,A_primary_physical,strict_v1_1e-12,1,1,always_in_family,one_per_observation_when_required_when_condition_holds,electrical_observation,production_extractor_output,production_extractor_output
electrical,numeric,phi,potential_V,A_primary_physical,strict_v1_1e-12,1,1,always_in_family,one_per_observation_when_required_when_condition_holds,electrical_observation,production_extractor_output,production_extractor_output
electrical,numeric,relative_current_imbalance,relative_residual,A_primary_physical,strict_v1_1e-12,1,1,always_in_family,one_per_observation_when_required_when_condition_holds,electrical_observation,production_extractor_output,production_extractor_output
electrical,numeric,relative_power_imbalance,relative_residual,A_primary_physical,strict_v1_1e-12,1,1,always_in_family,one_per_observation_when_required_when_condition_holds,electrical_observation,production_extractor_output,production_extractor_output
electrical,numeric,source_current,terminal_current_A,A_primary_physical,strict_v1_1e-12,1,1,always_in_family,one_per_observation_when_required_when_condition_holds,electrical_observation,production_extractor_output,production_extractor_output
electrical,numeric,terminal_power,power_W,A_primary_physical,strict_v1_1e-12,1,1,always_in_family,one_per_observation_when_required_when_condition_holds,electrical_observation,production_extractor_output,production_extractor_output
failure,exact,accepted_rejected_sequence,none,B_exact_topology,canonical_exact_equality,1,1,always_in_family,one_mapping_entry; contained_sequence_length_is_runtime_contractual,_attempt_observation,production_extractor_output,production_extractor_output
failure,exact,converged_disposition,none,B_exact_topology,canonical_exact_equality,1,1,always_in_family,one_mapping_entry; contained_sequence_length_is_runtime_contractual,_attempt_observation,production_extractor_output,production_extractor_output
failure,exact,event_count_direction_and_order,none,B_exact_topology,canonical_exact_equality,1,1,always_in_family,one_mapping_entry; contained_sequence_length_is_runtime_contractual,_attempt_observation,production_extractor_output,production_extractor_output
failure,exact,failure_classification,none,B_exact_topology,canonical_exact_equality,1,1,always_in_family,one_mapping_entry; contained_sequence_length_is_runtime_contractual,_attempt_observation,production_extractor_output,production_extractor_output
failure,exact,fallback_disposition,none,B_exact_topology,canonical_exact_equality,1,1,always_in_family,one_mapping_entry; contained_sequence_length_is_runtime_contractual,_attempt_observation,production_extractor_output,production_extractor_output
failure,exact,nonlinear_method,none,B_exact_topology,canonical_exact_equality,1,1,always_in_family,one_mapping_entry; contained_sequence_length_is_runtime_contractual,_attempt_observation,production_extractor_output,production_extractor_output
failure,exact,reversal_count_direction_and_order,none,B_exact_topology,canonical_exact_equality,1,1,always_in_family,one_mapping_entry; contained_sequence_length_is_runtime_contractual,_attempt_observation,production_extractor_output,production_extractor_output
failure,numeric,aggregate_ledgers.circuit.accounted_power_W,ledger_power_terms,A_primary_physical,strict_v1_1e-12,1,1,always_in_family,one_per_observation_when_required_when_condition_holds,_attempt_observation,production_extractor_output,production_extractor_output
failure,numeric,aggregate_ledgers.circuit.input_power_W,ledger_power_terms,A_primary_physical,strict_v1_1e-12,1,1,always_in_family,one_per_observation_when_required_when_condition_holds,_attempt_observation,production_extractor_output,production_extractor_output
